Name,Platform,Year_of_Release,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
The Biggest Loser,DS,2009,0.32,0.18,0.11,0,0.03
Power Rangers Samurai,DS,2011,0.32,0.26,0.04,0,0.02
Kingdom Under Fire: The Crusaders,XB,2004,0.32,0.24,0.07,0,0.01
4x4 Evolution,PS2,2001,0.32,0.16,0.12,0,0.04
Clive Barker's Jericho,X360,2007,0.32,0.28,0.01,0,0.02
Rise of the Tomb Raider,X360,2015,0.32,0.18,0.11,0,0.03
Momotarou Dentetsu Happy,SNES,1996,0.32,0,0,0.32,0
Power Rangers: Time Force,PS,2001,0.32,0.18,0.12,0,0.02
Romance of the Three Kingdoms VII,PS2,2000,0.32,0.08,0.06,0.16,0.02
Goosebumps HorrorLand,DS,2008,0.32,0.29,0,0,0.02
Fable III,PC,2011,0.32,0.1,0.17,0,0.05
Littlest Pet Shop: City Friends,DS,2009,0.32,0.29,0,0,0.02
"Monsters, Inc.",PS2,2002,0.32,0.15,0.12,0,0.04
DJ Hero,PS2,2009,0.32,0.1,0.02,0,0.2
Lord of Arcana,PSP,2010,0.32,0.07,0.04,0.17,0.03
Phineas and Ferb: Across the 2nd Dimension,PS3,2011,0.32,0.15,0.11,0,0.05
Quiz Magic Academy DS,DS,2008,0.32,0,0,0.32,0
Tekken 6,PSP,2009,0.32,0.15,0.03,0.1,0.03
Chicken Blaster,Wii,2009,0.32,0.29,0,0,0.02
Dynasty Warriors 4 Empires,PS2,2004,0.32,0,0,0.32,0
Shenmue II,XB,2002,0.32,0.22,0.08,0,0.01
Crash of the Titans,X360,2007,0.32,0.27,0.02,0,0.02
LEGO Marvel's Avengers,X360,2016,0.32,0.18,0.11,0,0.03
Skylanders SWAP Force,XOne,2013,0.32,0.22,0.06,0,0.03
Heart of Darkness,PS,1998,0.32,0.18,0.12,0,0.02
Rugby World Cup 2011,PS3,2011,0.32,0,0.24,0,0.07
Virtua Striker 2,DC,1999,0.32,0,0,0.32,0
F1 Race Stars,PS3,2012,0.32,0.06,0.19,0,0.06
Overlord II,PS3,2009,0.32,0.11,0.15,0,0.06
WarCraft II: The Dark Saga,PS,1997,0.31,0.18,0.12,0,0.02
Shrek the Third,PSP,2007,0.31,0.08,0.15,0,0.09
MonHun Nikki: Poka Poka Ailu Mura G,PSP,2011,0.31,0,0,0.31,0
BlazBlue: Continuum Shift,X360,2010,0.31,0.23,0.04,0.02,0.02
MLB 07: The Show,PS3,2007,0.31,0.29,0,0,0.02
Crash Nitro Kart,XB,2003,0.31,0.24,0.07,0,0.01
Etrian Odyssey III: The Drowned City,DS,2010,0.31,0.12,0,0.19,0.01
Batman: Arkham Origins,PC,2013,0.31,0.13,0.16,0,0.02
NBA ShootOut,PS,1995,0.31,0.17,0.12,0,0.02
Harry Potter and the Half-Blood Prince,X360,2009,0.31,0.17,0.11,0,0.03
Jikkyou Powerful Pro Yakyuu 14,PS2,2007,0.31,0,0,0.31,0
Fishing Master,Wii,2007,0.31,0.29,0,0,0.02
Madden NFL 2004,GBA,2003,0.31,0.22,0.08,0,0.01
Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,SNES,1995,0.31,0,0,0.31,0
Jikkyou Powerful Pro Yakyuu Portable 3,PSP,2008,0.31,0,0,0.31,0
Mario Golf,GB,1999,0.31,0,0,0.31,0
Digimon World: Dawn / Dusk,DS,2007,0.31,0.12,0,0.18,0.01
Sesame Street: Elmo's Letter Adventure,PS,1998,0.31,0.17,0.12,0,0.02
Birthday Party Bash,Wii,2009,0.31,0.29,0,0,0.02
NBA Inside Drive 2003,XB,2002,0.31,0.23,0.07,0,0.01
FIFA Street,PS2,2005,0.31,0.15,0.12,0,0.04
Monster Lab,Wii,2008,0.31,0.27,0.02,0,0.02
Fate/Extra,PSP,2010,0.31,0.18,0.01,0.1,0.03
Drakengard 3,PS3,2013,0.31,0.1,0,0.19,0.02
Catherine,X360,2011,0.31,0.2,0.06,0.03,0.02
J Stars Victory Vs.,PS3,2014,0.31,0.05,0.05,0.2,0.02
Jampack: Summer 2003 (RP-M),PS2,2003,0.31,0.15,0.12,0,0.04
Alone in the Dark: One-Eyed Jack's Revenge,PS,1996,0.31,0.17,0.12,0,0.02
Yu-Gi-Oh! The Dawn of Destiny,XB,2004,0.31,0.23,0.07,0,0.01
1001 Touch Games,DS,2011,0.31,0.11,0.16,0,0.04
The Matrix: Path of Neo,XB,2005,0.31,0.23,0.07,0,0.01
Namco Museum: Virtual Arcade,X360,2008,0.31,0.27,0.01,0.01,0.02
Bust-A-Move Universe,3DS,2011,0.31,0.08,0.15,0.06,0.03
Mortal Kombat: Shaolin Monks,XB,2005,0.31,0.23,0.07,0,0.01
Batman: Arkham Origins,WiiU,2013,0.31,0.19,0.09,0,0.03
Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,2014,0.31,0,0,0.31,0
Shin Megami Tensei: Devil Survivor 2,DS,2011,0.31,0.16,0.01,0.12,0.01
Einhänder,PS,1997,0.31,0.1,0.07,0.13,0.02
Tiny Toon Adventures: The Great Beanstalk,PS,1998,0.31,0.17,0.12,0,0.02
Sonic Boom: Rise of Lyric,WiiU,2014,0.31,0.19,0.09,0,0.03
Metro: Last Light,XOne,2014,0.31,0.15,0.13,0,0.03
The Settlers 7: Paths to a Kingdom,PC,2010,0.31,0,0.27,0,0.05
WipEout Pulse,PSP,2007,0.31,0.13,0.12,0,0.06
The Legend of Spyro: Dawn of the Dragon,X360,2008,0.31,0.16,0.12,0,0.03
Foto Frenzy: Spot The Diffrence,DS,2009,0.31,0.29,0,0,0.02
Armored Core: Silent Line,PS2,2003,0.31,0.07,0.06,0.16,0.02
SD Gundam G Generation Wars,PS2,2009,0.31,0,0,0.31,0
Dr. Seuss: How the Grinch Stole Christmas,DS,2007,0.31,0.29,0,0,0.02
Fuel,X360,2009,0.31,0.09,0.18,0,0.04
Panzer Dragoon II Zwei,SAT,1995,0.31,0,0,0.31,0
Tropico 5,PS4,2015,0.31,0.06,0.16,0.06,0.04
KISS Pinball,PS,2001,0.31,0.17,0.12,0,0.02
Brothers In Arms: Earned in Blood,XB,2005,0.31,0.23,0.07,0,0.01
LEGO Legends of Chima: Laval's Journey,3DS,2013,0.31,0.18,0.1,0,0.03
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,0.31,0.22,0.08,0,0.01
Super Robot Taisen Complete Box,PS,1999,0.31,0,0,0.29,0.02
Peppa Pig: Theme Park Fun,DS,2011,0.31,0,0.27,0,0.04
Skylanders: SuperChargers,PS4,2015,0.31,0.17,0.08,0,0.05
7 Wonders II,DS,2009,0.31,0.13,0.15,0,0.03
My Horse & Me,Wii,2007,0.31,0.27,0.02,0,0.02
Dark Void,X360,2010,0.31,0.19,0.09,0,0.03
Gold's Gym: Cardio Workout (Others sales),Wii,2008,0.31,0,0.29,0,0.02
Goemon's Great Adventure,N64,1998,0.31,0.06,0.02,0.13,0.1
Hot Wheels Turbo Racing,N64,1999,0.31,0.25,0.06,0,0
Vigilante 8,N64,1998,0.31,0.25,0.06,0,0
Bass Hunter 64,N64,1999,0.31,0.25,0.06,0,0
Doubutsu no Mori,N64,2001,0.31,0,0,0.26,0.05
Jikkyou Powerful Pro Yakyuu 4,N64,1997,0.31,0,0,0.26,0.05
Happy Feet,DS,2006,0.31,0.27,0.01,0,0.02
Manhunt 2,PSP,2007,0.31,0.04,0.17,0,0.09
Mega Man Maverick Hunter X,PSP,2005,0.31,0.27,0.01,0,0.03
J-League Winning Eleven 2007: Club Championship,PS2,2007,0.31,0,0,0.31,0
Barbie as The Island Princess,DS,2007,0.31,0.28,0.01,0,0.02
Clash of the Titans,PS3,2010,0.31,0.09,0.15,0.01,0.05
Mega Man Battle Network 2,GBA,2002,0.31,0.22,0.08,0,0.01
Major League Baseball 2K8,PS3,2008,0.31,0.28,0,0,0.03
Pandora's Tower,Wii,2011,0.31,0.11,0.1,0.08,0.02
Mountain King,2600,1982,0.31,0.29,0.02,0,0
Jampack Volume 12,PS2,2005,0.31,0.15,0.12,0,0.04
Lord of the Rings: Battle for Middle-Earth,X360,2006,0.31,0.28,0,0,0.02
Shaun White Snowboarding,PS2,2008,0.31,0.15,0.12,0,0.04
SimAnimals,Wii,2009,0.31,0.14,0.13,0,0.03
Tiger Woods PGA Tour 06,X360,2005,0.31,0.28,0,0,0.02
Shin Megami Tensei: Devil Summoner - Soul Hackers,SAT,1997,0.31,0,0,0.31,0
MySims SkyHeroes,DS,2010,0.31,0.2,0.08,0,0.02
Jonah Lomu Rugby Challenge,X360,2011,0.31,0.09,0.19,0,0.03
Demolition Racer,PS,1998,0.31,0.17,0.12,0,0.02
Midway Arcade Treasures 2,XB,2004,0.31,0.24,0.05,0,0.01
Final Fantasy IV,PS,1997,0.31,0,0,0.29,0.02
The Incredible Hulk,Wii,2008,0.31,0.28,0.01,0,0.02
NASCAR Thunder 2003,GC,2002,0.31,0.24,0.06,0,0.01
SD Gundam G Generation: Overworld,PSP,2012,0.31,0,0,0.31,0
Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,2012,0.31,0.13,0.02,0.14,0.01
Mega Man Zero Collection,DS,2010,0.31,0.17,0.01,0.11,0.02
SingStar Take That,PS3,2009,0.31,0,0.28,0,0.03
NHL FaceOff 2000,PS,1998,0.31,0.17,0.12,0,0.02
Pro Evolution Soccer 2013,X360,2012,0.31,0.08,0.2,0,0.03
Star Wars Racer Revenge,PS2,2002,0.31,0.15,0.12,0,0.04
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,DS,2010,0.31,0.18,0.01,0.09,0.02
NCAA Final Four 2002,PS2,2001,0.31,0.15,0.12,0,0.04
South Park: Chef's Luv Shack,PS,1998,0.31,0.17,0.12,0,0.02
Cabela's Outdoor Adventures (2009),Wii,2009,0.31,0.28,0,0,0.02
Music Maker,PS2,2001,0.31,0.15,0.12,0,0.04
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993,0.31,0,0,0.31,0
Shrek's Carnival Craze Party Games,Wii,2008,0.31,0.28,0,0,0.02
Astroblast,2600,1981,0.31,0.29,0.02,0,0
40 Winks,PS,1999,0.31,0.17,0.12,0,0.02
Blade II,PS2,2002,0.31,0.15,0.12,0,0.04
Calvin Tucker's Redneck Jamboree,Wii,2008,0.31,0.28,0,0,0.02
My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,DS,2009,0.31,0.29,0,0,0.02
TRON: Evolution,X360,2010,0.31,0.24,0.05,0,0.02
A Collection of Classic Games from the Intellivision,PS,1999,0.31,0.17,0.12,0,0.02
Math Play,DS,2006,0.31,0.28,0,0,0.02
Bruce Lee: Quest of the Dragon,XB,2002,0.31,0.23,0.07,0,0.01
Spin Jam,PS,2000,0.31,0.17,0.12,0,0.02
KuruKuru Kururin,GBA,2001,0.31,0,0,0.3,0.01
Disney's The Emperor's New Groove,PS,2000,0.31,0.17,0.12,0,0.02
Dragon Ball Z: Battle of Z,PS3,2014,0.31,0.1,0.1,0.06,0.04
DmC: Devil May Cry,PS4,2015,0.31,0.12,0.13,0,0.05
Disney's Stitch: Experiment 626,PS2,2002,0.31,0.15,0.12,0,0.04
RPG Tsukuru 2,SNES,1996,0.31,0,0,0.31,0
Yuu Yuu Hakusho 2: Kakutou no Sho,SNES,1994,0.31,0,0,0.31,0
Orphen: Scion of Sorcery,PS2,2000,0.31,0.15,0.12,0,0.04
NBA Live 08,PSP,2007,0.31,0.28,0,0,0.02
Star Wars Episode III: Revenge of the Sith,DS,2005,0.3,0.25,0.03,0,0.02
Ultimate Spider-Man,GBA,2005,0.3,0.22,0.08,0,0.01
Midtown Madness 3,XB,2003,0.3,0.23,0.07,0,0.01
Shrek Swamp Kart Speedway,GBA,2002,0.3,0.22,0.08,0,0.01
Gameboy Gallery,GB,1995,0.3,0,0,0.3,0
Contra 4,DS,2007,0.3,0.28,0,0.01,0.02
Virtua Cop 2,SAT,1996,0.3,0,0,0.3,0
Ehrgeiz,PS,1998,0.3,0.17,0.12,0,0.02
Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable,PSP,2005,0.3,0,0,0.3,0
Spyro: Attack of the Rhynocs,GBA,2003,0.3,0.22,0.08,0,0.01
Monsters vs. Aliens,PS3,2009,0.3,0.21,0.05,0,0.04
"Army Men World War: Land, Sea, Air",PS,2000,0.3,0.17,0.12,0,0.02
NASCAR 2011: The Game,X360,2011,0.3,0.29,0,0,0.02
BlazBlue: Chrono Phantasma,PS3,2013,0.3,0.14,0,0.14,0.03
Dai-2-Ji Super Robot Taisen OG,PS3,2012,0.3,0,0,0.3,0
Naruto: Ninja Destiny (US sales),DS,2006,0.3,0.3,0,0,0
Kingdoms of Amalur: Reckoning,PC,2012,0.3,0.14,0.13,0,0.03
Jumping Flash!,PS,1995,0.3,0.05,0.03,0.21,0.02
Mario Party: Star Rush,3DS,2016,0.3,0.08,0.13,0.08,0.02
Karaoke Revolution Party,PS2,2005,0.3,0.15,0.12,0,0.04
Burnout,GC,2002,0.3,0.23,0.06,0,0.01
Lizzie McGuire 3: Homecoming Havoc,GBA,2005,0.3,0.22,0.08,0,0.01
Chaos Legion,PS2,2003,0.3,0.15,0.12,0,0.04
Puyo Puyo 7,DS,2009,0.3,0,0,0.3,0
Charlie and the Chocolate Factory,GBA,2005,0.3,0.22,0.08,0,0.01
Neopets: The Darkest Faerie,PS2,2005,0.3,0.15,0.12,0,0.04
Blazing Heroes,SAT,1995,0.3,0,0,0.3,0
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,0.3,0.21,0.07,0,0.03
Rhythm Tengoku,GBA,2006,0.3,0,0,0.3,0.01
Super Robot Taisen W,DS,2007,0.3,0,0,0.3,0
Cart World Series,PS,1997,0.3,0.17,0.11,0,0.02
Shrek: Forever After,DS,2010,0.3,0.18,0.1,0,0.03
Batman: Arkham VR,PS4,2016,0.3,0.25,0,0,0.06
Lumines ll,PSP,2006,0.3,0.12,0.12,0,0.07
24: The Game,PS2,2006,0.3,0.15,0.12,0,0.04
Famista '91,NES,1990,0.3,0,0,0.3,0
Madagascar,DS,2005,0.3,0.25,0.03,0,0.02
The King of Fighters XIII,PS3,2011,0.3,0.17,0.06,0.04,0.03
Sniper Elite 3,X360,2014,0.3,0.16,0.12,0,0.03
Super Robot Taisen OG: Original Generations Gaiden,PS2,2007,0.3,0,0,0.3,0
Lego Batman 3: Beyond Gotham,PSV,2014,0.3,0.05,0.19,0,0.07
Decathlete,SAT,1994,0.3,0,0,0.3,0
Tom Clancy's Splinter Cell 3D,3DS,2011,0.3,0.14,0.07,0.07,0.02
Magna Carta 2,X360,2009,0.3,0.13,0.07,0.07,0.02
Looney Tunes: Duck Amuck,DS,2007,0.3,0.28,0,0,0.02
Shin Megami Tensei: Persona 2: Innocent Sin,PSP,2011,0.3,0.13,0.03,0.11,0.03
Romance of the Three Kingdoms VIII,PS2,2002,0.3,0.05,0.04,0.19,0.01
Fossil Fighters (JP sales),DS,2008,0.3,0,0,0.3,0
Daikaijyuu Monogatari,SNES,1994,0.3,0,0,0.3,0
Hard Hitter Tennis,PS2,2001,0.3,0.15,0.11,0,0.04
F1 2013,X360,2013,0.3,0.01,0.27,0,0.02
Quake II,N64,1999,0.3,0.24,0.06,0,0
Monster Truck Madness 64,N64,1999,0.3,0.24,0.06,0,0
Crazy Taxi: Catch a Ride,GBA,2003,0.3,0.21,0.08,0,0.01
Nounai Aeshe: IQ Suppli DS,DS,2006,0.3,0,0,0.3,0
Final Fantasy XI: Wings of the Goddess,X360,2007,0.3,0.26,0,0.02,0.02
PowerUp Heroes,X360,2011,0.3,0.18,0.09,0,0.03
Jonas,DS,2009,0.3,0.27,0,0,0.02
Macross Digital Mission VF-X,PS,1997,0.3,0,0,0.28,0.02
Rayman 2: Revolution,PS2,2000,0.3,0.15,0.11,0,0.04
Yu Yu Hakusho Ghost Files: Spirit Detective,GBA,2003,0.3,0.21,0.08,0,0.01
Super Bomberman 5,SNES,1997,0.3,0,0,0.3,0
One Piece Unlimited Cruise SP,3DS,2011,0.3,0,0,0.3,0
Madden NFL 13,PSV,2012,0.3,0.28,0,0,0.02
Army Men: Air Attack 2,PS,2000,0.3,0.17,0.11,0,0.02
Stranglehold,PS3,2007,0.3,0.24,0.02,0,0.03
Pride FC: Fighting Championships,PS2,2003,0.3,0.15,0.11,0,0.04
Eternal Ring,PS2,2000,0.3,0.1,0.07,0.1,0.03
Dragon Force,SAT,1996,0.3,0,0,0.3,0
Dynasty Warriors 8: Xtreme Legends,PS4,2014,0.3,0.09,0.11,0.06,0.04
Resident Evil Archives: Resident Evil,Wii,2008,0.3,0.16,0.04,0.08,0.02
Dynasty Warriors 6,X360,2007,0.3,0.15,0.06,0.06,0.02
Silent Hill: Shattered Memories,PSP,2010,0.3,0.09,0.13,0.01,0.07
Dragon Quest Builders: Revive Alefgard,PSV,2016,0.3,0,0,0.3,0
Winning Post 2,SNES,1995,0.3,0,0,0.3,0
Star Gladiator Episode: I Final Crusade,PS,1996,0.3,0.07,0.05,0.15,0.02
Dance Dance Revolution Universe 3,X360,2008,0.3,0.28,0,0,0.02
Showdown: Legends of Wrestling,PS2,2004,0.3,0.15,0.11,0,0.04
Sword Art Online: Hollow Fragment,PSV,2014,0.3,0,0,0.3,0
Imagine: Family Doctor,DS,2009,0.3,0.27,0.01,0,0.02
Far East of Eden Zero,SNES,1995,0.3,0,0,0.3,0
Full Spectrum Warrior,PS2,2005,0.3,0.15,0.11,0,0.04
Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Wii,2010,0.3,0,0,0.3,0
The Sims 2: Pets,PS2,2006,0.3,0.02,0.01,0,0.27
Wacky Races: Crash & Dash,Wii,2008,0.3,0.27,0,0,0.02
Power Pro Kun Pocket 6,GBA,2003,0.3,0,0,0.29,0.01
Power Pro Kun Pocket 10,DS,2007,0.3,0,0,0.3,0
Finding Nemo: The Continuing Adventures,GBA,2004,0.3,0.21,0.08,0,0.01
Spirit: Stallion of the Cimarron,GBA,2002,0.3,0.21,0.08,0,0.01
The Suite Life of Zack & Cody: Circle of Spies,DS,2007,0.3,0.17,0.09,0,0.03
Future Cop L.A.P.D.,PS,1997,0.3,0.16,0.11,0,0.02
MySims Party,DS,2009,0.3,0.15,0.12,0,0.03
Hamster Tarou,GB,1999,0.3,0,0,0.3,0
Fist of the North Star: Ken's Rage 2,PS3,2012,0.3,0,0,0.3,0
Shark Tale,GC,2004,0.3,0.23,0.06,0,0.01
MLB SlugFest Loaded,PS2,2004,0.3,0.14,0.11,0,0.04
Squinkies,DS,2011,0.3,0.26,0.02,0,0.02
Rapala Pro Bass Fishing 2010,Wii,2010,0.3,0.22,0.05,0,0.03
Teenage Mutant Ninja Turtles,XB,2003,0.3,0.22,0.06,0,0.01
Capcom Classics Collection Remixed,PSP,2006,0.3,0.27,0,0,0.02
1701 A.D.,PC,2006,0.3,0,0.25,0,0.04
Lego Star Wars: The Force Awakens,XOne,2016,0.3,0.14,0.13,0,0.02
Little Deviants,PSV,2011,0.3,0.14,0.12,0,0.04
Spider-Man 3,PSP,2007,0.3,0.01,0.23,0,0.05
AMF Bowling 2004,XB,2003,0.3,0.22,0.06,0,0.01
N3: Ninety-Nine Nights,X360,2006,0.3,0.2,0.02,0.05,0.02
Scooby-Doo! Night of 100 Frights,GC,2002,0.3,0.23,0.06,0,0.01
Radiant Historia,DS,2010,0.29,0.19,0,0.09,0.01
Sorcery,PS3,2012,0.29,0.14,0.11,0,0.05
RealSports Boxing,2600,1986,0.29,0.28,0.02,0,0
Imagine: Makeup Artist,DS,2020,0.29,0.27,0,0,0.02
Harry Potter and the Order of the Phoenix,X360,2007,0.29,0.24,0.03,0,0.02
Grandia II,PS2,2002,0.29,0.14,0.11,0,0.04
Shaun White Snowboarding: World Stage,Wii,2009,0.29,0.24,0.03,0,0.02
Spider-Man: Friend or Foe,X360,2007,0.29,0.26,0.01,0,0.02
Guitar Hero: Van Halen,X360,2009,0.29,0.16,0.1,0,0.03
Dreamworks Madagascar Kartz,PS3,2009,0.29,0.19,0.07,0,0.04
Batman: The Brave and the Bold the Videogame,DS,2010,0.29,0.23,0.04,0,0.02
The Sims 2,PC,2004,0.29,0.02,0.24,0,0.04
Phineas and Ferb Ride Again,DS,2010,0.29,0.24,0.03,0,0.02
Need for Speed Underground,GBA,2003,0.29,0.21,0.08,0,0.01
Def Jam Rapstar,X360,2010,0.29,0.25,0.02,0,0.02
Power Pro Kun Pocket 4,GBA,2002,0.29,0,0,0.29,0.01
Guardian Heroes,SAT,1995,0.29,0,0,0.29,0
Outlaw Golf,XB,2002,0.29,0.22,0.06,0,0.01
Fisherman's Bait 2: Big Ol' Bass,PS,1999,0.29,0.16,0.11,0,0.02
MySims SkyHeroes,Wii,2010,0.29,0.16,0.1,0,0.03
Mini Ninjas,X360,2009,0.29,0.12,0.14,0,0.03
Lupin the 3rd: Treasure of the Sorcerer King,PS2,2002,0.29,0.02,0.02,0.25,0.01
Disney Infinity,3DS,2013,0.29,0.17,0.1,0,0.02
The LEGO Movie Videogame,PSV,2014,0.29,0.04,0.19,0,0.07
Kurohyou: Ryu ga Gotoku Shinshou,PSP,2010,0.29,0,0,0.29,0
Ben 10 Alien Force: Vilgax Attacks,PS2,2009,0.29,0.11,0.03,0,0.15
NBA Street V3,GC,2005,0.29,0.23,0.06,0,0.01
Nicktoons: Battle for Volcano Island,DS,2006,0.29,0.27,0,0,0.02
WinBack: Covert Operations,PS2,2000,0.29,0.14,0.11,0,0.04
Kagero: Deception II,PS,1998,0.29,0.03,0.02,0.22,0.02
Syphon Filter: Dark Mirror,PSP,2006,0.29,0.26,0.01,0,0.03
Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,PS,2000,0.29,0,0,0.27,0.02
Invizimals: Shadow Zone,PSP,2010,0.29,0.05,0.16,0,0.08
Glory of Heracles,DS,2008,0.29,0.19,0,0.08,0.01
Rabbids: Alive & Kicking,X360,2011,0.29,0.15,0.11,0,0.03
Up,X360,2009,0.29,0.2,0.07,0,0.03
Modnation Racers: Road Trip,PSV,2012,0.29,0.15,0.09,0,0.04
NBA Live 06,X360,2005,0.29,0.27,0,0,0.02
ExerBeat,Wii,2010,0.29,0.1,0.16,0,0.03
J-League Victory Goal '96,SAT,1996,0.29,0,0,0.29,0
Need for Speed: Most Wanted,PC,2005,0.29,0.02,0.23,0,0.04
Jeopardy! 2nd Edition,PS,2000,0.29,0.16,0.11,0,0.02
SD Gundam G Century,PS,1997,0.29,0,0,0.27,0.02
Ratchet & Clank: Size Matters,PS2,2008,0.29,0.13,0.1,0.03,0.03
Front Mission Evolved,PS3,2010,0.29,0.09,0.06,0.11,0.03
Ultimate Marvel vs. Capcom 3,PSV,2011,0.29,0.17,0.08,0,0.04
Little King's Story,Wii,2009,0.29,0.14,0.1,0.02,0.02
Atelier Iris 3: Grand Phantasm (US Sales),PS2,2006,0.29,0.14,0.11,0,0.04
Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,1994,0.29,0,0,0.29,0
Dynasty Warriors: Strikeforce,PS3,2009,0.29,0.11,0.07,0.07,0.03
From TV Animation One Piece: Treasure Battle!,GC,2002,0.29,0,0,0.28,0.01
Alvin and the Chipmunks: The Squeakquel,DS,2009,0.29,0.27,0,0,0.02
Dolphin,2600,1983,0.29,0.27,0.02,0,0
NieR,X360,2010,0.29,0.13,0.1,0.04,0.02
Zoo Tycoon 2 DS,DS,2008,0.29,0.24,0.03,0,0.02
Area 51,XB,2005,0.29,0.22,0.06,0,0.01
Deadpool,PS4,2015,0.29,0.14,0.11,0,0.05
UEFA Euro 2016,PS4,2016,0.29,0,0.22,0.04,0.04
Hamster Club 4: Shigessa Daidassou,GBA,2003,0.29,0,0,0.28,0.01
Imagine: Fashion Designer World Tour,DS,2009,0.29,0.27,0,0,0.02
Wanted: Weapons of Fate,PS3,2009,0.29,0.14,0.1,0.01,0.04
Mega Man X8,PS2,2004,0.29,0.14,0.11,0,0.04
The Chronicles of Riddick: Assault on Dark Athena,X360,2009,0.29,0.16,0.1,0,0.03
Ford Mustang: The Legend Lives,PS2,2005,0.29,0.14,0.11,0,0.04
Fast Food,2600,1981,0.29,0.27,0.02,0,0
TouchMaster: Connect,DS,2010,0.29,0.1,0.16,0,0.03
FlatOut: Head On,PSP,2008,0.29,0.13,0.1,0,0.06
Jikkyou Powerful Pro Yakyuu 8,PS2,2001,0.29,0,0,0.29,0
Jeremy McGrath Supercross 2000,N64,1999,0.29,0.23,0.06,0,0
Supercross 2000,N64,1999,0.29,0.23,0.06,0,0
War Gods,N64,1997,0.29,0.23,0.06,0,0
Viz,N64,1998,0.29,0.23,0.06,0,0
Top Gear Overdrive,N64,1998,0.29,0.23,0.06,0,0
Ken Griffey Jr.'s Slugfest,N64,1999,0.29,0.23,0.06,0,0
The New Tetris,N64,1999,0.29,0.22,0.05,0.02,0
Xena: Warrior Princess - The Talisman of Fate,N64,1999,0.29,0.23,0.06,0,0
The Godfather: Dons Edition,PS3,2007,0.29,0.25,0.02,0,0.03
Duel Masters: Sempai Legends,GBA,2003,0.29,0.21,0.08,0,0.01
Marvel Super Hero Squad,PS2,2009,0.29,0.14,0.11,0,0.04
John Deere: Harvest in the Heartland,DS,2007,0.29,0.23,0.03,0,0.02
Harvest Moon: Magical Melody,Wii,2008,0.29,0.23,0.03,0,0.02
Resident Evil: Revelations 2,PS3,2015,0.29,0.06,0.05,0.16,0.02
Heroes of the Pacific,PS2,2005,0.29,0.14,0.11,0,0.04
Prince of Persia: Rival Swords,Wii,2007,0.29,0.24,0.02,0,0.02
The Lord of the Rings: The Third Age,GC,2004,0.29,0.22,0.06,0,0.01
Trace Memory,DS,2005,0.29,0.15,0.01,0.12,0.01
X-Men Legends II: Rise of Apocalypse,PSP,2005,0.29,0.25,0.01,0,0.02
Just Dance Wii 2,Wii,2012,0.29,0,0,0.29,0
Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,PSV,2013,0.29,0.08,0.02,0.16,0.03
Borderlands: The Pre-Sequel,PC,2014,0.29,0.11,0.15,0,0.02
Madden NFL 08,XB,2007,0.29,0.22,0.06,0,0.01
DX Game of Life,PS,1996,0.29,0,0,0.27,0.02
Trauma Center: New Blood,Wii,2007,0.29,0.22,0.04,0.01,0.02
Starhawk,PS3,2012,0.29,0.18,0.05,0.03,0.03
Pirates of the Caribbean,XB,2003,0.29,0.22,0.06,0,0.01
FIFA Soccer 13,3DS,2012,0.29,0.06,0.2,0,0.03
Ace Combat: Joint Assault,PSP,2010,0.29,0.06,0.05,0.15,0.03
The Punisher,XB,2005,0.29,0.22,0.06,0,0.01
MLB Pennant Race,PS,1996,0.29,0.16,0.11,0,0.02
The BIGS 2,Wii,2009,0.29,0.26,0.01,0,0.02
Shrek: Forever After,Wii,2010,0.29,0.18,0.09,0,0.03
Turning Point: Fall of Liberty,X360,2008,0.29,0.23,0.04,0,0.02
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991,0.29,0,0,0.29,0
Karaoke Revolution Glee: Volume 3,Wii,2011,0.29,0.23,0.04,0,0.02
Sonic Boom: Shattered Crystal,3DS,2014,0.29,0.17,0.09,0,0.03
Shrek Super Party,PS2,2002,0.29,0.14,0.11,0,0.04
MLB Power Pros,Wii,2007,0.29,0.23,0,0.04,0.02
Mah Jong Quest: Expeditions,DS,2007,0.29,0.02,0.25,0,0.01
"Sakura Wars 4: Koi Seyo,Otome",DC,2002,0.29,0,0,0.29,0
"Sakura Wars: So Long, My Love",PS2,2005,0.29,0.07,0.05,0.15,0.02
